zipcode,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,hasFireplace,taxAssessedValue,rentZestimate,price,parkingCapacity,hasCooling,hasHeating,hasPrivatePool,hasSpa,hasView,log_lotAreaValue,log_livingAreaValue,log_price,log_taxAssessedValue
90043,0,1924,446.120206,86.957208,2,1.0,1.0,0,140708.0,2981.0,250000,1,0,1,0,0,0,2.649451894067818,1.9393055870849147,5.3979400086720375,5.148318790093492
91331,1,1989,19710.636316,61.966301,2,1.0,1.0,0,330000.0,2500.0,350000,2,1,1,0,0,1,4.294700644780043,1.7921555722633586,5.544068044350276,5.518513939877887
91356,1,1973,21381.58481,70.420474,1,1.0,1.0,1,148315.0,2166.0,335000,1,1,1,0,1,1,4.330039892113623,1.8476989439788631,5.525044807036846,5.171185076097809
91316,1,1971,9585.392596,44.128925,1,1.0,1.0,1,300000.0,1800.0,310000,1,1,1,0,0,1,3.981609905298033,1.6447233479716763,5.491361693834273,5.477121254719663
91605,1,1962,7441.770854,60.38695,2,1.0,1.0,0,354703.4,2525.0,320000,1,1,1,0,0,1,3.871676293154544,1.7809430949896652,5.505149978319906,5.549865351410092
91335,1,1990,7696.723034,57.506957,1,1.0,1.0,1,223860.0,1999.0,343000,2,1,1,0,0,1,3.886305858786365,1.7597203873669276,5.535294120042771,5.349976499424472
90011,3,1922,242.291024,85.47076,2,2.0,1.0,0,60624.0,2450.0,305000,0,0,0,0,0,0,2.384337325406692,1.9318175656923648,5.484299839346786,4.782644587930918
90032,0,1927,446.956333,57.971472,2,1.0,1.0,0,186813.0,2599.0,332500,1,0,1,0,0,0,2.650265095249374,1.7632143280292336,5.521791649639123,5.271407094762481
91342,4,1990,185.062776,185.062776,3,2.0,1.0,0,282190.8,1282.0,325000,2,1,1,0,0,1,2.2673190724344896,2.2673190724344896,5.511883360978874,5.450542850756516
91356,1,1973,21381.58481,43.850216,1,1.0,1.0,0,141602.0,1849.0,345000,1,1,1,0,1,1,4.330039892113623,1.6419717369808975,5.537819095073274,5.1510693874132825
91356,1,1978,7878.427048,58.714696,1,1.0,1.0,0,228888.0,2094.0,308000,1,1,1,0,1,1,3.896439517925685,1.7687468166291946,5.488550716500444,5.359623024346042
91306,1,1979,11952.805696,69.119832,1,1.0,1.0,0,66452.0,2114.0,330000,2,1,1,0,1,1,4.0774698597000345,1.8396026738926885,5.518513939877887,4.822508056398281
91343,1,1980,3254.2105619834715,74.786915,2,1.0,1.0,0,61357.0,2496.0,330000,2,1,1,0,0,1,3.5124456503061188,1.873825618714678,5.518513939877887,4.787864116988889
90021,3,1902,357.67655,191.751792,4,4.0,1.0,0,452573.0,4054.0,320000,0,0,0,0,0,0,2.5534904678553105,2.2827394313019838,5.505149978319906,5.655688640867532
91367,1,1966,34398.31,71.163698,2,1.0,1.0,0,216072.2,2570.0,340000,1,1,1,0,0,1,4.53653710606851,1.8522585079794136,5.531478917042255,5.334598893846459
91343,2,1978,4937.1692,86.864305,2,2.0,2.0,0,331118.0,2557.0,349000,2,1,1,0,0,1,3.693478011028965,1.9388413492193275,5.54282542695918,5.519982790199943
91367,1,2010,12503.0879825528,97.54815,2,2.0,1.0,0,412882.0,3200.0,315000,0,1,1,0,0,0,4.097017287260793,1.989219037416748,5.498310553789601,5.615825949789032
91331,1,1989,19710.636316,82.312058,3,2.0,1.0,0,187913.0,2663.0,350000,2,1,1,0,0,1,4.294700644780043,1.9154634602338605,5.544068044350276,5.2739568260450085
90012,1,2006,5996.637148,64.10307,1,1.0,1.0,0,375476.0,2400.0,335000,1,1,1,0,0,1,3.777907770800608,1.806878829084065,5.525044807036846,5.574582182616688
91304,1,1980,15780.325884,47.473433,1,1.0,1.0,1,131252.0,1999.0,345000,4,1,1,0,1,1,4.198115967704932,1.6764506384815223,5.537819095073274,5.11810592984825
90002,0,1944,473.8053,136.474507,3,2.0,1.0,0,384849.0,3634.0,330000,4,0,1,0,0,0,2.6755999144447458,2.135051534137066,5.518513939877887,5.585290362416751
90059,0,1980,464.515,120.402288,4,2.0,1.0,0,289373.0,3664.0,345000,0,0,1,0,0,0,2.666999742682828,2.080634739881384,5.537819095073274,5.461458006748325
91316,1,1971,37758.822544,93.739127,2,2.0,1.0,0,378419.0,2669.0,340000,2,1,1,0,1,1,4.577018442971994,1.97192090458372,5.531478917042255,5.577972933723415
91316,1,1971,9582.95704775023,75.158527,2,1.0,1.0,0,273347.0,2600.0,320000,2,1,1,0,0,1,3.98149954157965,1.875978259959082,5.505149978319906,5.436714311845299
91402,1,1978,72.371437,72.371437,2,1.0,1.0,0,181738.0,2500.0,330000,2,1,1,0,0,1,1.859567196019374,1.859567196019374,5.518513939877887,5.259445744395804
91606,1,1970,4009.14133241506,64.660488,1,1.0,1.0,0,328364.0,1998.0,335000,0,1,1,0,0,1,3.603051366503968,1.810638977957372,5.525044807036846,5.516355537429247
91042,0,1921,387.684219,67.912093,2,1.0,1.0,0,41528.0,2900.0,340000,0,0,1,0,0,0,2.5884781230585183,1.83194711530467,5.531478917042255,4.618341015870793
91316,0,1952,560.669605,227.705253,3,3.0,1.0,0,725931.0,6499.0,328000,1,0,1,0,0,0,2.748707012780178,2.357373049598888,5.515873843711679,5.860895342816677
91605,1,1962,7439.342738,69.67725,2,1.0,1.0,0,177289.0,2525.0,335000,1,1,1,0,0,1,3.871534567552752,1.8430910017385096,5.525044807036846,5.248681790380945
91304,1,1980,3067.475286501377,67.912093,2,1.0,1.0,1,291119.0,2342.0,350000,2,1,0,0,0,0,3.48678107246528,1.83194711530467,5.544068044350276,5.464070550769894
90043,0,1921,501.862006,120.216482,2,2.0,1.0,0,252860.0,3800.0,336500,1,0,1,0,0,0,2.7005843181982416,2.0799640146794918,5.526985068559996,5.402880133602107
90012,1,2006,5996.637148,90.11591,2,2.0,1.0,0,74625.0,2658.0,340000,1,1,1,0,0,1,3.777907770800608,1.9548014726130545,5.531478917042255,4.872884344137425
90013,1,1923,2534.861687327824,48.30956,1,1.0,1.0,0,59254.0,1764.0,362000,1,0,1,0,1,0,3.4039542673896444,1.6840330819816087,5.558708570533166,4.7727176731511936
91335,1,1976,20946.86694674013,120.495191,3,2.0,1.0,0,194797.0,3495.0,372000,0,1,1,0,0,0,4.321119074104428,2.0809697144308896,5.570542939881897,5.289582264177718
90002,0,1944,511.152306,114.27069,4,2.0,1.0,0,382307.0,3595.0,375000,1,0,0,0,0,1,2.7085503244004743,2.057934849786208,5.574031267727719,5.582412249977024
91304,1,1971,21900.796948000003,82.033349,2,2.0,1.0,0,186406.0,2498.0,350000,1,1,1,0,1,1,4.340459918667579,1.9139904419243785,5.544068044350276,5.270459887229089
90061,3,1947,649.763582,151.060278,6,3.0,1.0,0,589708.0,3900.0,350000,0,0,0,0,0,0,2.812755366320036,2.179150279604859,5.544068044350276,5.770637019472377
91316,1,1971,37758.822544,93.739127,2,2.0,1.0,0,224112.0,2628.0,350000,2,1,1,0,1,1,4.577018442971994,1.97192090458372,5.544068044350276,5.350465111306393
90002,0,1940,466.930478,119.659064,3,2.0,1.0,0,259212.0,3534.0,365000,1,0,1,0,0,0,2.6692522226033666,2.077945601370603,5.562292864456475,5.413655102959162
90047,0,1923,434.78604,113.806175,3,1.0,1.0,0,186114.0,3499.0,370000,2,0,0,0,0,1,2.6382755914209337,2.056165827047361,5.568201724066995,5.2697790431687
91324,4,2023,231.885888,139.447403,4,2.0,1.0,0,183459.0,1434.0,370000,2,1,0,0,1,1,2.365274319357196,2.14441043059008,5.568201724066995,5.263539021921685
91402,1,1977,4756.274558,95.782993,3,2.0,1.0,1,420240.0,2749.0,353000,2,1,1,0,0,1,3.6772669165065226,1.9812884036303264,5.547774705387822,5.6234973877950525
90024,1,1972,1654.325895775941,79.246259,1,2.0,1.0,0,231503.0,3192.0,350000,0,1,1,0,0,0,3.218621067970672,1.8989787695143323,5.544068044350276,5.36455662332375
91304,1,1980,6029.012028,65.0321,1,1.0,1.0,0,124058.0,2070.0,360000,0,1,1,0,1,1,3.7802461502924247,1.8131277783610664,5.556302500767287,5.093624775410559
91335,1,1991,7694.294918,61.780495,1,1.0,1.0,1,233250.0,1999.0,360000,2,1,1,0,0,1,3.886168828553243,1.7908513836499145,5.556302500767287,5.367821652418537
91367,1,1987,6837.16997,56.67083,1,1.0,1.0,1,383096.0,2134.0,375000,2,1,1,0,0,1,3.834876376465132,1.7533595733575766,5.574031267727719,5.58330761743075
91304,1,1980,15782.754,66.797257,2,1.0,1.0,1,110143.0,2350.0,375000,0,1,1,0,0,0,4.198182787380716,1.824758628729692,5.574031267727719,5.0419569013236005
90057,1,1970,1617.934628,43.850216,1,1.0,1.0,0,332927.0,1795.0,365000,1,1,1,0,0,1,3.208960970136315,1.6419717369808975,5.562292864456475,5.522349017372101
90003,0,1924,234.301366,48.30956,1,1.0,1.0,0,13971.0,1849.0,370000,0,1,0,0,0,1,2.3697748205838725,1.6840330819816087,5.568201724066995,4.145227492652394
91605,2,1973,1055.4210879999998,67.81919,1,1.0,2.0,0,303795.0,2149.0,362000,2,1,1,0,0,1,3.0234257674140994,1.8313525984672656,5.558708570533166,5.482580621764164
91306,1,1988,5411.461192,58.52889,1,1.0,1.0,1,137907.0,2100.0,369000,2,1,1,0,0,1,3.733314548274748,1.7673702878003914,5.567026366159061,5.139586311021513
91406,1,1984,1551.9466551882458,63.824361,1,1.0,1.0,1,161401.0,1999.0,355000,2,1,1,0,0,1,3.190876789244629,1.80498647540636,5.550228353055094,5.207906221173762
91367,1,1966,34398.31,71.163698,2,1.0,1.0,0,274528.2,2570.0,359900,1,1,1,0,0,1,4.53653710606851,1.8522585079794136,5.556181846652911,5.43858696253965
91311,1,1984,4397.722762,44.686343,1,1.0,1.0,0,268048.0,1999.0,375000,1,1,1,0,0,1,3.643227847414797,1.6501748147206414,5.574031267727719,5.428212571150192
91402,1,1976,3007.0882571166208,72.185631,2,1.0,1.0,0,159056.0,2485.0,355000,2,1,1,0,0,1,3.478146174697209,1.858450757147724,5.550228353055094,5.201550056453396
